lat,lon,ele,time,temperature,distance_m,distance_total_m,delta_time_s,velocity_m_s,velocity_km_h,acceleration_m_s2,height_difference_m,slope_percent,slope_rad,force_total_n,power_w,torque_nm,motor_current_a,lipo_soc,lipo_voltage_v,lipo_battery_current_a,nmc_soc,nmc_voltage_v,nmc_battery_current_a
47.567904,12.130199,485.610602,2024-08-23 18:01:04.667000+00:00,29.03422593130365,37.117180248281215,31611.81368451947,4.13,8.987210713869544,32.35395856993036,-0.03392455206509485,-0.20150500000005422,-0.542888761086277,-0.005428834276928872,27.131589149457927,243.83730868831495,9.303421919349123,6.202281279566082,0.723942157503974,40.96225253614354,5.9525734288367715,0.7197234782829356,39.673391209008344,6.145650673342726
47.567649,12.129779,485.380473,2024-08-23 18:01:09.525000+00:00,28.49054953400995,42.38992291253484,31654.203607432006,4.858,8.725797223658882,31.412870005171975,-0.053810928408946565,-0.2301289999999767,-0.5428861016681085,-0.005428807683530964,23.94537578871795,208.94249357666368,8.210869357951385,5.4739129053009234,0.723655412205644,40.96968115139437,5.099792872726638,0.719427413381624,39.678057486669346,5.265542913405494
47.56758,12.129642,485.310841,2024-08-23 18:01:11.006000+00:00,28.418218274078075,12.826287457359559,31667.029894889365,1.4809999999999999,8.660558715300176,31.178011375080636,-0.04405030949271119,-0.0696320000000128,-0.5428850727967962,-0.005428797395121068,24.335445386031786,210.75855362870905,8.3446242228703,5.563082815246866,0.7235672324967516,40.96889793266243,5.144312524178574,0.7193363632557556,39.67671973879587,5.311769665785602
47.567364,12.129165,485.192207,2024-08-23 18:01:16.165000+00:00,27.71507192951004,43.099815933453236,31710.129710822817,5.159,8.35429655620338,30.075467602332168,-0.059364636382399,-0.11863399999998592,-0.275254075755587,-0.002752533806063567,23.415326915107634,195.61858500926002,8.029115599190407,5.352743732793605,0.7232821514115623,40.971504487123475,4.774375995418012,0.7190419959547039,39.67704386625134,4.92989626107203
47.566553,12.126583,486.528774,2024-08-23 18:01:51.323000+00:00,28.76812678301361,213.67952577736756,31923.809236600184,35.158,6.077692865844688,21.87969431704088,-0.0647535039068972,1.3365670000000023,0.6255007329960897,0.006254925755911934,18.733246688982945,113.85491975574027,6.423630289652252,4.282420193101501,0.7221519165560903,40.987140410914776,2.7775269216899545,0.7178748491045278,39.68312012673192,2.868237324512636
47.566458,12.126336,486.712662,2024-08-23 18:01:55.063000+00:00,28.71774209057054,21.330977761986027,31945.14021436217,3.74,5.703469989835836,20.532491963409008,-0.10005959251573598,0.18388800000002448,0.8620701875547946,0.008620488331603747,16.246128156393386,92.65930439101666,5.570797344827292,3.7138648965515277,0.7220540702384917,40.991936533488555,2.2604069092327705,0.7177737866142838,39.68675263829789,2.3347056569735156
47.565982,12.125471,487.434606,2024-08-23 18:02:08.869000+00:00,29.47662736165273,83.74543562682912,32028.885649989,13.806000000000001,6.065872492164937,21.837140971793772,0.026249638007322995,0.7219439999999508,0.862069669345257,0.008620483149893457,27.820370713558855,168.75482143320767,9.539605117679331,6.359736745119554,0.7213959446163148,40.97083130808116,4.1186479614715665,0.7170940376353522,39.66299164702034,4.253970141944916
47.565565,12.124839,488.006339,2024-08-23 18:02:20.420000+00:00,28.2411108825235,66.32087323830982,32095.20652322731,11.551,5.741569841425835,20.669651429133005,-0.028075720780807032,0.5717330000000516,0.8620709771803694,0.008620496227272716,22.15507843064848,127.20493015183533,7.5969763938693635,5.064650929246242,0.720980964327241,40.97938703600197,3.103999391911927,0.7166653667757532,39.66776398228007,3.2064031053027158
47.56499,12.124122,488.34555,2024-08-23 18:02:34.019000+00:00,28.50457516383197,83.55787711605579,32178.764400343363,13.599,6.144413347750261,22.11988805190094,0.029623024216811955,0.3392109999999775,0.40595933227077824,0.004059571021825799,24.841501998061645,152.63645645505474,8.518151035135338,5.678767356756892,0.7203946211234394,40.970926602968575,3.725277800460347,0.7160596420618313,39.65593768720959,3.8484164484783276
47.564628,12.123728,488.53443,2024-08-23 18:02:39.925000+00:00,28.519691841855376,49.94153224145204,32228.705932584817,5.906,8.456067091339662,30.441841528822785,0.3914076775464615,0.18887999999998328,0.37820225275989977,0.0037820044954556048,65.19481072780546,551.2916935215137,22.35530059856449,14.903533732376326,0.7194726412651407,40.869766933591634,13.487819125807121,0.7151072399338654,39.55793657661941,13.932872308880713
47.564379,12.123466,488.662853,2024-08-23 18:02:44.300000+00:00,29.183726639881737,33.95629134513941,32262.662223929958,4.375,7.761438021746152,27.941176878286146,-0.15877235876423096,0.12842299999999796,0.37820090154922276,0.003781990983542104,17.299200840186575,134.26667514684706,5.931895968099976,3.954597312066651,0.7193067029356004,40.971238578383165,3.277044953663122,0.7149357704044118,39.64846171195564,3.3862782502377997
47.563998,12.123047,488.872784,2024-08-23 18:02:52.889000+00:00,28.347352233806525,52.75552002700751,32315.417743956965,8.589,6.142219120620271,22.111988834232974,-0.18852240087622313,0.20993100000004006,0.39793181811603523,0.003979297177227677,7.317583165898144,44.946199238308594,2.5091992675864736,1.6727995117243157,0.7191977066603524,40.99262686123234,1.0964347632349103,0.7148231337905903,39.66702289617611,1.1330543059934988
47.563765,12.122681,489.041057,2024-08-23 18:02:59.494000+00:00,28.53451076288517,37.75402842602509,32353.17177238299,6.605,5.715977051631353,20.57751738587287,-0.0645332428446507,0.16827299999999923,0.44570872835388115,0.0044570577696126925,15.870226193983727,90.71384872900978,5.44190056191702,3.62793370794468,0.7190284891543279,40.980807201076175,2.2135340682083893,0.7146482644502297,39.65512938566215,2.2874657088802253
47.563626,12.122416,489.153304,2024-08-23 18:03:03.889000+00:00,28.69894825485827,25.18398899871063,32378.3557613817,4.395,5.730145392198096,20.628523411913143,0.0032237407432861307,0.11224699999996801,0.4457077868232663,0.004457048354493581,21.346651007510822,122.31941390954897,7.319766630475461,4.8798444203169735,0.7188766297045592,40.972506815551185,2.985359831629708,0.7144913302487539,39.646541309949455,3.085122868601583
47.56351,12.12208,489.279523,2024-08-23 18:03:07.836000+00:00,28.48830456157818,28.318592181125425,32406.674353562823,3.947,7.1747129924310675,25.828966772751844,0.36599128457891356,0.12621899999999187,0.44571071610020874,0.004457077646681096,56.790808498572744,407.4577515853746,19.47356823416059,12.982378822773727,0.7184215541339023,40.90099971909231,9.961623842098177,0.7140210874646453,39.578646842031716,10.293634797817015
47.563429,12.121763,489.392881,2024-08-23 18:03:11.938000+00:00,28.171783192724735,25.433155666286773,32432.10750922911,4.102,6.200184218987511,22.32066318835504,-0.23757405495942382,0.11335800000000518,0.44570953556608095,0.004457065841574335,4.01487521276438,24.892965935385835,1.376700710456906,0.9178004736379374,0.7183927249398349,40.994433182395916,0.6072263206782225,0.7139912906019711,39.662919156709755,0.6276082240512031
47.563345,12.121434,489.510518,2024-08-23 18:03:15.532000+00:00,28.492044996449152,26.393353581656854,32458.500862810768,3.594,7.343726650433181,26.437415941559454,0.3181809770299584,0.11763700000000199,0.4457069073698867,0.0044570395601344895,53.81136981452755,395.1759906032616,18.451918709401497,12.301279139600998,0.7179908506523286,40.902354080420636,9.661084707995826,0.7135759852201495,39.57679411877446,9.98396911223673
47.563181,12.120987,489.680673,2024-08-23 18:03:20.568000+00:00,28.931815874929885,38.17623069509357,32496.677093505863,5.036,7.580665348509447,27.29039525463401,0.04704898690950468,0.17015500000002248,0.4457092722406743,0.004457063208372579,33.33914885874953,252.73293050232084,11.431994143665214,7.621329429110143,0.717631005730778,40.93584882375119,6.173669821679084,0.7132040670725089,39.60450965420961,6.38080380384086
47.563031,12.120731,489.662785,2024-08-23 18:03:23.721000+00:00,27.88174235029447,25.439149081762682,32522.116242587625,3.153,8.06823630883688,29.04565071181277,0.15463715836582093,-0.01788800000002766,-0.0703168173689094,-0.0007031680577963532,40.52528172756923,326.9675494602178,13.896119104383487,9.264079402922325,0.7173393947241522,40.916559049986944,7.990862978897795,0.7129026620292362,39.584983902446,8.259243811848396
47.562882,12.120547,489.6309,2024-08-23 18:03:27.325000+00:00,28.46148483707344,21.56624723050616,32543.68248981813,3.604,5.98397536917485,21.54231132902946,-0.5783187956886877,-0.031884999999988395,-0.14784677027575768,-0.0014784666255145264,-28.810449063254566,-172.40101756938196,-9.87910298378999,-6.586068655859993,0.7175146292293444,41.03914901595428,-4.200960390845765,0.7130838261846277,39.69711146630473,-4.343114047120317
47.562671,12.120364,489.590707,2024-08-23 18:03:31.285000+00:00,28.04493959253041,27.184731218257046,32570.867221036387,3.96,6.8648311157214765,24.713392016597314,0.22243831983500675,-0.04019299999998793,-0.14785137906014917,-0.0014785127132576966,39.14946975668761,268.754498149706,13.42435317956818,8.949568786378787,0.7172136893523119,40.930326199649485,6.565960953437511,0.712772765576928,39.59653654932994,6.786776895265233
47.56212,12.12004,489.493252,2024-08-23 18:03:40.501000+00:00,28.99252331446242,65.91528855280214,32636.78250958919,9.216,7.152266553038427,25.748159590938336,0.031188741028314898,-0.09745500000002494,-0.147848855917482,-0.0014784874818861797,25.237643311652594,180.5063521354468,8.653987891565674,5.769325261043782,0.7167435278444392,40.95010588204062,4.407764136306724,0.712286750193539,39.611070740065145,4.556394219271656
47.561976,12.119956,489.46781,2024-08-23 18:03:42.351000+00:00,27.63340654760811,17.207896534365823,32653.990406123554,1.85,9.301565694251796,33.485636499306466,1.161783319574794,-0.02544199999999819,-0.14785072625923842,-0.0014785061852628592,127.86926953850445,1189.384410888389,43.84637252475318,29.23091501650212,0.7161178297316931,40.69956708455926,29.2217929412228,0.7116401579044949,39.380082553376525,30.197607445091176
47.561707,12.119763,489.418676,2024-08-23 18:03:45.933000+00:00,28.115539076364204,33.232631193167954,32687.223037316722,3.582,9.277674816629803,33.39962933986729,-0.006669703412058236,-0.049133999999980915,-0.1478486602953124,-0.00147848552566876,34.24011532481918,317.6686556675751,11.740935544880497,7.827290363253664,0.7157959358268535,40.91290833642019,7.764275091608752,0.7113073639364663,39.57066255744829,8.027191188627317
47.561586,12.119652,489.378998,2024-08-23 18:03:47.946000+00:00,28.58360593753226,15.823851552241052,32703.046888868965,2.013,7.860830378659242,28.29898936317327,-0.7038472121065878,-0.039677999999980784,-0.2507480550420191,-0.002507475295213206,-30.707760848738303,-241.38849934036494,-10.529691195032363,-7.019794130021576,0.7159329420404342,41.04988073312903,-5.880445530736722,0.711449047844053,39.69556338825825,-6.081216897909972
